month,COARSE_CAL,GRANULAR,UNHEDGED
2024-01,81.51496102,80.11005759,81.39331347
2024-02,79.03873693,63.61722139,64.88166918
2024-03,78.43591857,65.35742255,66.60384847
2024-04,79.28679459,66.15175176,63.28715329
2024-05,80.55464667,66.29387282,66.42397191
2024-06,80.97236951,67.30436297,74.4906038
2024-07,81.74141511,74.88397325,66.93569939
2024-08,77.4066732,72.94685479,79.91564659
2024-09,78.49125193,74.23936409,78.91120329
2024-10,80.56056414,110.15641534,90.99128491
2024-11,82.76691494,108.3860959,121.71552015
2024-12,86.48339382,110.7011913,119.36274517
