strategy,forecast_energy_mwh,actual_energy_mwh,actual_minus_forecast_mwh,fixed_futures_cost_eur,day_ahead_scheduled_cost_eur,futures_payoff_eur,forecast_procurement_cost_eur,imbalance_settlement_eur,imbalance_premium_eur,final_procurement_cost_eur,final_average_price_eur_mwh,saving_vs_unhedged_eur,saving_vs_unhedged_eur_mwh,absolute_open_day_ahead_volume_mwh,forecast_shaping_coverage,monthly_average_price_std_eur_mwh,monthly_average_price_range_eur_mwh
UNHEDGED,43000.0,43138.0,138.0,0.0,3506703.99098364,0.0,3506703.99098364,30503.83979857,13589.24391983,3537207.83078221,81.99749248,0.0,0.0,43000.0,0.0,20.15327243,58.42836686
COARSE_CAL,43000.0,43138.0,138.0,3493701.73311063,-42735.08965054,55737.34752355,3450966.64346009,30503.83979857,13589.24391983,3481470.48325866,80.70542175,55737.34752355,1.29207074,12760.12913575,0.70325281,2.43238212,9.07672063
GRANULAR,43000.0,43138.0,138.0,3493705.91681754,-42198.572761,55196.6469271,3451507.34405654,30503.83979857,13589.24391983,3482011.18385511,80.71795595,55196.6469271,1.27953653,11985.14698987,0.72127565,18.56308745,47.08396991
