strategy,forecast_energy_mwh,portfolio_hpfc_value_eur,hedge_notional_energy_mwh,hedge_hpfc_value_eur,value_neutral_difference_eur,residual_hpfc_value_eur,fixed_hedge_cost_eur,day_ahead_shaping_cost_eur,financial_futures_payoff_eur,total_procurement_cost_eur,average_procurement_price_eur_mwh,saving_vs_unhedged_eur,saving_vs_unhedged_eur_mwh,residual_energy_mwh,residual_absolute_energy_mwh,residual_load_rmse_mw,overhedged_quarter_hour_share,settlement_equivalence_error_eur,position_count
UNHEDGED,43000.0,3493705.91724914,0.0,0.0,-3493705.91724914,3493705.91724914,0.0,3506703.99098364,0.0,3506703.99098364,81.5512556,0.0,0.0,43000.0,43000.0,5.27668656,0.0,0.0,0
COARSE_CAL,43000.0,3493705.91724914,44503.81862631,3493705.91724911,-3e-08,3e-08,3493701.73311063,-42735.08965054,55737.34752355,3450966.64346009,80.25503822,55737.34752355,1.29621738,-1503.81862631,12760.12913575,1.7666214,0.57001366,0.0,2
GRANULAR,43000.0,3493705.91724914,44079.17734146,3493705.91724914,0.0,-0.0,3493705.91681754,-42198.572761,55196.6469271,3451507.34405654,80.26761265,55196.6469271,1.28364295,-1079.17734146,11985.14698987,1.68528849,0.55040414,0.0,12
