optimization_period,solver,condition_number,objective_sum_squared_mwh,target_hpfc_value_eur,achieved_hpfc_value_eur,value_difference_eur,minimum_volume_mw,status,strategy
CAL,ANALYTIC_KKT,1671.46174862,6853.60877866,3493705.91724914,3493705.91724914,0.0,1.88444684,OK,COARSE_CAL
M01,ANALYTIC_KKT,1650.02556492,787.59060367,339688.94077569,339688.94077569,0.0,2.33097587,OK,GRANULAR
M02,ANALYTIC_KKT,1315.61258987,706.14970732,245756.49401329,245756.49401329,0.0,2.21722962,OK,GRANULAR
M03,ANALYTIC_KKT,1386.53176982,666.21026404,255419.47182083,255419.47182083,0.0,1.97137323,OK,GRANULAR
Q2,ANALYTIC_KKT,1373.70224621,1181.10767558,663355.19080749,663355.19080749,0.0,1.67823016,OK,GRANULAR
Q3,ANALYTIC_KKT,1517.52365192,937.9168714,719370.72860532,719370.72860532,0.0,1.54121416,OK,GRANULAR
Q4,ANALYTIC_KKT,2262.51258425,1958.09811605,1270115.09122651,1270115.09122651,0.0,2.13482725,OK,GRANULAR
