rank,coarse_absolute_residual_mw,granular_absolute_residual_mw,exceedance_share
1,5.982163933829041,5.685791226391106,2.8460837887067395e-05
2,5.98006393382904,5.682119226391106,5.692167577413479e-05
3,5.978631933829043,5.619095226391105,8.538251366120219e-05
4,5.976531933829041,5.571919226391104,0.00011384335154826958
5,5.949963933829042,5.548383226391105,0.000142304189435337
6,5.946463933829041,5.537811226391106,0.00017076502732240437
7,5.946291933829041,5.5341392263911064,0.00019922586520947178
8,5.942791933829042,5.471675226391105,0.00022768670309653916
9,5.935519933829042,5.433487226391104,0.00025614754098360657
10,5.93184793382904,5.425759226391105,0.000284608378870674
11,5.91546793382904,5.401803226391106,0.00031306921675774133
12,5.913227933829042,5.386815226391105,0.00034153005464480874
13,5.883267933829041,5.3705112263911055,0.00036999089253187615
14,5.879767933829042,5.3666992263911055,0.00039845173041894356
15,5.87716393382904,5.338531226391106,0.0004269125683060109
16,5.87349193382904,5.336048594572452,0.0004553734061930783
17,5.8688239338290416,5.332376594572451,0.00048383424408014573
18,5.868011933829042,5.330485382983126,0.0005122950819672131
19,5.865771933829041,5.328385382983125,0.0005407559198542805
20,5.844615933829042,5.326953382983128,0.000569216757741348
21,5.842515933829041,5.324853382983127,0.0005976775956284153
22,5.83609193382904,5.305075226391105,0.0006261384335154827
23,5.8325919338290415,5.305023226391107,0.0006545992714025501
24,5.821787933829043,5.294785382983127,0.0006830601092896175
25,5.812555933829042,5.291113382983127,0.0007115209471766848
26,5.8107479338290435,5.288167226391104,0.0007399817850637523
27,5.8091959338290415,5.283841382983127,0.0007684426229508197
28,5.801983933829042,5.280169382983125,0.0007969034608378871
29,5.7983119338290425,5.271567226391106,0.0008253642987249545
30,5.798251933829041,5.269632594572454,0.0008538251366120218
31,5.778603933829042,5.263789382983124,0.0008822859744990893
32,5.77479193382904,5.261549382983127,0.0009107468123861566
33,5.764271933829042,5.260559226391104,0.000939207650273224
34,5.7404559338290415,5.242755226391104,0.0009676684881602915
35,5.735847933829042,5.237488594572452,0.000996129326047359
36,5.729299933829042,5.236043226391105,0.0010245901639344263
37,5.727199933829041,5.23367659457245,0.0010530510018214936
38,5.712467933829044,5.229063226391105,0.001081511839708561
39,5.69765993382904,5.228089382983127,0.0011099726775956283
40,5.69415993382904,5.223156594572452,0.001138433515482696
41,5.689931933829041,5.2171453829831265,0.0011668943533697633
42,5.683495933829041,5.216333382983127,0.0011953551912568306
43,5.666831933829044,5.214093382983126,0.001223816029143898
44,5.665975933829041,5.199340594572452,0.0012522768670309653
45,5.6645679338290424,5.195311226391107,0.0012807377049180327
46,5.66106793382904,5.192937382983127,0.0013091985428051003
47,5.654563933829041,5.190837382983126,0.0013376593806921676
48,5.650987933829041,5.1873912263911075,0.001366120218579235
49,5.65075193382904,5.1832992263911075,0.0013945810564663023
50,5.642735933829043,5.180913382983126,0.0014230418943533697
51,5.6346839338290415,5.171352594572453,0.0014515027322404373
52,5.630871933829042,5.170109382983128,0.0014799635701275046
53,5.62660393382904,5.161943226391106,0.001508424408014572
54,5.62625993382904,5.1575173829831265,0.0015368852459016393
55,5.620467933829041,5.1566992263911064,0.0015653460837887067
56,5.616003933829044,5.146573382983126,0.0015938069216757742
57,5.612643933829045,5.129887226391106,0.0016222677595628416
58,5.6027039338290425,5.125716594572453,0.001650728597449909
59,5.588987933829042,5.123947226391104,0.0016791894353369763
60,5.582495933829044,5.122655226391105,0.0017076502732240437
61,5.578995933829042,5.113448594572453,0.001736111111111111
62,5.578319933829041,5.109636594572451,0.0017645719489981786
63,5.572323933829042,5.101620594572453,0.001793032786885246
64,5.5692479338290415,5.101223226391104,0.0018214936247723133
65,5.569195933829043,5.086543226391106,0.0018499544626593806
66,5.566539933829041,5.086532548933518,0.001878415300546448
67,5.564579933829044,5.0851445945724505,0.0019068761384335156
68,5.552339933829041,5.082440548933518,0.001935336976320583
69,5.547247933829043,5.0795392263911054,0.0019637978142076503
70,5.54481193382904,5.0789552263911055,0.001992258652094718
71,5.54433193382904,5.077621382983127,0.002020719489981785
72,5.53881593382904,5.075521382983126,0.0020491803278688526
73,5.535739933829041,5.054463226391107,0.0020776411657559197
74,5.532379933829041,5.0478725945724525,0.0021061020036429873
75,5.529379933829041,5.042481382983125,0.002134562841530055
76,5.52473193382904,5.032351226391107,0.002163023679417122
77,5.524315933829041,5.031817382983126,0.0021914845173041896
78,5.522215933829042,5.022216548933517,0.0022199453551912567
79,5.521855933829041,5.016139226391106,0.0022484061930783243
80,5.519815933829042,5.012889382983127,0.002276867030965392
81,5.508963933829041,5.009389382983125,0.002305327868852459
82,5.50692793382904,5.0061325945724535,0.0023337887067395265
83,5.505011933829041,5.003216594572451,0.0023622495446265937
84,5.5002159338290415,4.999403226391106,0.0023907103825136613
85,5.499383933829044,4.991951226391105,0.0024191712204007284
86,5.493235933829042,4.988264594572452,0.002447632058287796
87,5.489875933829041,4.987719226391107,0.0024760928961748635
88,5.47921193382904,4.9800805489335165,0.0025045537340619307
89,5.466155933829041,4.9787005945724525,0.0025330145719489982
90,5.466019933829042,4.974925382983125,0.0025614754098360654
91,5.459483933829043,4.969727226391106,0.002589936247723133
92,5.451563933829044,4.968789382983127,0.0026183970856102005
93,5.447471933829044,4.967848594572453,0.0026468579234972677
94,5.4453279338290415,4.964325382983129,0.0026753187613843352
95,5.443947933829041,4.963896594572453,0.0027037795992714024
96,5.4340319338290435,4.961083226391105,0.00273224043715847
97,5.430671933829043,4.9609653829831295,0.0027607012750455375
98,5.426115933829042,4.958268594572455,0.0027891621129326047
99,5.423095933829041,4.954724548933519,0.0028176229508196722
100,5.4208719338290425,4.944187226391104,0.0028460837887067394
101,5.407719933829039,4.930817382983129,0.002874544626593807
102,5.400551933829041,4.9279152263911055,0.0029030054644808745
103,5.398023933829043,4.9273173829831265,0.0029314663023679416
104,5.396907933829043,4.926641382983126,0.002959927140255009
105,5.394059933829042,4.925263226391104,0.0029883879781420764
106,5.391051933829042,4.925040594572452,0.003016848816029144
107,5.38811993382904,4.924904594572452,0.0030453096539162115
108,5.386827933829042,4.9206453829831265,0.0030737704918032786
109,5.378415933829042,4.914861382983126,0.003102231329690346
110,5.375615933829042,4.912901382983128,0.0031306921675774133
