delivery_period,base_target_eur_mwh,peak_target_eur_mwh,implied_offpeak_target_eur_mwh,quarter_hours_all,quarter_hours_peak,quarter_hours_offpeak,peak_shape_mean,offpeak_shape_mean
M01,75.32,88.68,67.44102564,2976,1104,1872,1.16262081,0.93700505
M02,60.09,70.59,54.13054054,2784,1008,1776,1.00188602,0.80092284
M03,63.45,72.79,58.65635438,2972,1008,1964,0.91574105,0.72112071
Q2,66.23,64.76,67.04666667,8736,3120,5616,0.97332004,0.83948023
Q3,74.74,69.07,77.91135593,8832,3168,5664,1.297407,1.0260193
Q4,101.39,134.42,82.92863091,8836,3168,5668,1.35979711,0.94319506
